Long;Lat
50,44048;04,88870
50,44048;04,88870
50,44044;04,88876
50,44040;04,88883
50,44043;04,88901
50,44052;04,88910
50,44060;04,88921
50,44065;04,88931
50,44067;04,88940
50,44066;04,88951
50,44063;04,88961
50,44055;04,88971
50,44051;04,88965
50,44044;04,88977
50,44045;04,89007
50,44048;04,88992
50,44050;04,88984
50,44045;04,89023
50,44044;04,89013
50,44044;04,89003
50,44051;04,88944
50,44055;04,88957
50,44061;04,88954
50,44067;04,88948
50,44071;04,88938
50,44069;04,88924
50,44067;04,88914
50,44065;04,88904
50,44065;04,88894
50,44066;04,88883
50,44071;04,88872
50,44076;04,88861
50,44084;04,88852
50,44094;04,88846
50,44103;04,88839
50,44111;04,88832
50,44119;04,88826
50,44127;04,88821
50,44134;04,88819
50,44142;04,88821
50,44149;04,88826
50,44154;04,88835
50,44159;04,88847
50,44164;04,88860
50,44169;04,88873
50,44174;04,88886
50,44180;04,88898
50,44187;04,88911
50,44194;04,88925
50,44200;04,88939
50,44207;04,88953
50,44215;04,88968
50,44223;04,88984
50,44231;04,89000
50,44240;04,89017
50,44249;04,89034
50,44257;04,89051
50,44264;04,89067
50,44272;04,89082
50,44279;04,89097
50,44287;04,89112
50,44294;04,89126
50,44301;04,89140
50,44309;04,89153
50,44315;04,89164
50,44323;04,89175
50,44328;04,89185
50,44331;04,89195
50,44335;04,89205
50,44341;04,89213
50,44349;04,89221
50,44357;04,89230
50,44364;04,89242
50,44371;04,89254
50,44380;04,89267
50,44387;04,89279
50,44396;04,89291
50,44403;04,89303
50,44410;04,89312
50,44414;04,89322
50,44420;04,89333
50,44427;04,89342
50,44434;04,89350
50,44442;04,89358
50,44451;04,89366
50,44461;04,89372
50,44470;04,89378
50,44480;04,89382
50,44490;04,89384
50,44500;04,89386
50,44510;04,89387
50,44520;04,89386
50,44531;04,89386
50,44541;04,89385
50,44552;04,89384
50,44563;04,89383
50,44573;04,89381
50,44584;04,89380
50,44594;04,89378
50,44605;04,89375
50,44616;04,89371
50,44626;04,89367
50,44637;04,89362
50,44647;04,89357
50,44658;04,89351
50,44668;04,89346
50,44678;04,89340
50,44687;04,89334
50,44696;04,89327
50,44706;04,89321
50,44715;04,89315
50,44724;04,89309
50,44733;04,89301
50,44741;04,89292
50,44747;04,89276
50,44752;04,89261
50,44755;04,89245
50,44756;04,89229
50,44755;04,89214
50,44754;04,89198
50,44749;04,89182
50,44749;04,89166
50,44749;04,89150
50,44753;04,89135
50,44757;04,89122
50,44764;04,89109
50,44770;04,89100
50,44778;04,89092
50,44785;04,89087
50,44793;04,89083
50,44799;04,89083
50,44805;04,89087
50,44808;04,89094
50,44809;04,89107
50,44810;04,89121
50,44812;04,89133
50,44815;04,89148
50,44818;04,89164
50,44821;04,89182
50,44825;04,89202
50,44828;04,89220
50,44832;04,89239
50,44835;04,89256
50,44839;04,89274
50,44842;04,89291
50,44846;04,89307
50,44848;04,89319
50,44850;04,89328
50,44849;04,89342
50,44850;04,89351
50,46763;04,88598
50,46736;04,88606
50,46657;04,88608
50,46668;04,88630
50,46659;04,88652
50,46666;04,88657
50,46669;04,88668
50,46670;04,88681
50,46668;04,88693
50,46670;04,88704
50,46672;04,88719
50,46679;04,88734
50,46680;04,88743
50,46677;04,88757
50,46677;04,88768
50,46678;04,88780
50,46679;04,88795
50,46679;04,88811
50,46680;04,88827
50,46681;04,88842
50,46682;04,88860
50,46683;04,88878
50,46684;04,88897
50,46686;04,88918
50,46688;04,88940
50,46690;04,88962
50,46692;04,88985
50,46694;04,89008
50,46697;04,89031
50,46700;04,89054
50,46703;04,89078
50,46706;04,89102
50,46710;04,89126
50,46714;04,89151
50,46718;04,89176
50,46722;04,89202
50,46725;04,89228
50,46729;04,89254
50,46734;04,89278
50,46738;04,89303
50,46744;04,89329
50,46750;04,89354
50,46755;04,89379
50,46759;04,89404
50,46764;04,89429
50,46770;04,89453
50,46776;04,89476
50,46783;04,89498
50,46790;04,89520
50,46797;04,89540
50,46805;04,89560
50,46811;04,89579
50,46817;04,89596
50,46823;04,89611
50,46827;04,89627
50,46829;04,89643
50,46829;04,89660
50,46828;04,89675
50,46825;04,89690
50,46820;04,89704
50,46815;04,89719
50,46810;04,89734
50,46805;04,89750
50,46800;04,89767
50,46796;04,89785
50,46794;04,89803
50,46794;04,89821
50,46794;04,89838
50,46796;04,89853
50,46797;04,89869
50,46797;04,89884
50,46797;04,89897
50,46795;04,89907
50,46794;04,89922
50,46788;04,89934
50,46784;04,89939
50,46778;04,89945
50,46770;04,89949
50,46760;04,89950
50,46749;04,89951
50,46738;04,89950
50,46727;04,89947
50,46715;04,89943
50,46701;04,89938
50,46687;04,89933
50,46672;04,89928
50,46657;04,89922
50,46642;04,89917
50,46627;04,89911
50,46612;04,89905
50,46598;04,89899
50,46584;04,89893
50,46570;04,89886
50,46557;04,89879
50,46544;04,89871
50,46531;04,89863
50,46519;04,89855
50,46510;04,89850
50,46503;04,89847
50,46497;04,89844
50,46492;04,89840
50,46485;04,89836
50,46479;04,89833
50,46473;04,89831
50,46467;04,89828
50,46461;04,89826
50,46452;04,89822
50,46446;04,89819
50,46439;04,89814
50,46430;04,89803
50,46426;04,89796
50,46424;04,89786
50,46423;04,89773
50,46423;04,89759
50,46424;04,89746
50,46424;04,89730
50,46425;04,89714
50,46424;04,89699
50,46424;04,89683
50,46424;04,89667
50,46425;04,89653
50,46424;04,89641
50,46423;04,89628
50,46423;04,89615
50,46423;04,89604
50,46425;04,89590
50,44057;04,88845
50,44064;04,88859
50,44070;04,88872
50,44053;04,88852
50,44063;04,88856
50,44054;04,88850
50,44033;04,88832
50,44059;04,88855
50,44064;04,88872
50,44063;04,88863
50,44079;04,88878
50,44085;04,88878
50,44077;04,88875
50,44063;04,88866
50,44059;04,88860
50,44075;04,88872
50,44097;04,88876
50,44040;04,88850
50,44040;04,88829
50,44057;04,88851
50,44062;04,88860
50,44058;04,88851
50,44051;04,88845
50,44041;04,88832
50,44041;04,88829
50,44053;04,88848
50,44058;04,88879
50,44007;04,88800
50,44022;04,88827
50,44028;04,88839
50,44032;04,88846
50,44043;04,88874
50,44062;04,88902
50,44062;04,88916
50,44057;04,88925
50,44060;04,88917
50,44056;04,88907
50,44054;04,88898
50,44054;04,88889
50,44060;04,88901
50,44064;04,88907
50,44047;04,88923
50,44038;04,88895
50,44067;04,88905
50,44057;04,88907
50,44042;04,88920
50,44043;04,88929
50,44047;04,88918
50,44054;04,88924